""

"Save Time: 21/06/2015 10:23:06"
"User Name:omcuser"


" "

"Total 202 Records"

"Resource Name","Collection Time","Granularity ","Inbound Rate(bit/s)","Outbound Rate(bit/s)","Inbound Bandwidth Utilization(%)","Outbound Bandwidth Utilization(%)"
CR07_BSS_NE40E_X8_A/Eth-Trunk0,13/06/2015 00:00:00 UTC+06:00,1 Hour,1.78G,346.0M,44.59,8.65
CR07_BSS_NE40E_X8_A/Eth-Trunk0,13/06/2015 01:00:00 UTC+06:00,1 Hour,1.37G,232.0M,34.14,5.80
CR07_BSS_NE40E_X8_A/Eth-Trunk0,13/06/2015 02:00:00 UTC+06:00,1 Hour,812.0M,134.0M,20.31,3.36
CR07_BSS_NE40E_X8_A/Eth-Trunk0,13/06/2015 03:00:00 UTC+06:00,1 Hour,474.0M,80.5M,11.84,2.01
CR07_BSS_NE40E_X8_A/Eth-Trunk0,13/06/2015 04:00:00 UTC+06:00,1 Hour,256.0M,56.6M,6.41,1.42
CR07_BSS_NE40E_X8_A/Eth-Trunk0,13/06/2015 05:00:00 UTC+06:00,1 Hour,245.0M,61.8M,6.14,1.55
CR07_BSS_NE40E_X8_A/Eth-Trunk0,13/06/2015 06:00:00 UTC+06:00,1 Hour,309.0M,89.7M,7.71,2.24
CR07_BSS_NE40E_X8_A/Eth-Trunk0,13/06/2015 07:00:00 UTC+06:00,1 Hour,507.0M,150.0M,12.69,3.76
CR07_BSS_NE40E_X8_A/Eth-Trunk0,13/06/2015 08:00:00 UTC+06:00,1 Hour,734.0M,219.0M,18.35,5.48
CR07_BSS_NE40E_X8_A/Eth-Trunk0,13/06/2015 09:00:00 UTC+06:00,1 Hour,984.0M,296.0M,24.59,7.40
CR07_BSS_NE40E_X8_A/Eth-Trunk0,13/06/2015 10:00:00 UTC+06:00,1 Hour,1.19G,363.0M,29.75,9.08
CR07_BSS_NE40E_X8_A/Eth-Trunk0,13/06/2015 11:00:00 UTC+06:00,1 Hour,1.37G,406.0M,34.16,10.16
CR07_BSS_NE40E_X8_A/Eth-Trunk0,13/06/2015 12:00:00 UTC+06:00,1 Hour,1.59G,430.0M,39.73,10.76
CR07_BSS_NE40E_X8_A/Eth-Trunk0,13/06/2015 13:00:00 UTC+06:00,1 Hour,1.49G,414.0M,37.31,10.35
CR07_BSS_NE40E_X8_A/Eth-Trunk0,13/06/2015 14:00:00 UTC+06:00,1 Hour,1.48G,404.0M,36.93,10.09
CR07_BSS_NE40E_X8_A/Eth-Trunk0,13/06/2015 15:00:00 UTC+06:00,1 Hour,1.51G,407.0M,37.86,10.17
CR07_BSS_NE40E_X8_A/Eth-Trunk0,13/06/2015 16:00:00 UTC+06:00,1 Hour,1.49G,401.0M,37.20,10.01
CR07_BSS_NE40E_X8_A/Eth-Trunk0,13/06/2015 17:00:00 UTC+06:00,1 Hour,1.39G,396.0M,34.70,9.91
CR07_BSS_NE40E_X8_A/Eth-Trunk0,13/06/2015 18:00:00 UTC+06:00,1 Hour,1.44G,423.0M,36.05,10.57
CR07_BSS_NE40E_X8_A/Eth-Trunk0,13/06/2015 19:00:00 UTC+06:00,1 Hour,1.52G,468.0M,37.96,11.70
CR07_BSS_NE40E_X8_A/Eth-Trunk0,13/06/2015 20:00:00 UTC+06:00,1 Hour,1.69G,514.0M,42.34,12.84
CR07_BSS_NE40E_X8_A/Eth-Trunk0,13/06/2015 21:00:00 UTC+06:00,1 Hour,1.79G,521.0M,44.65,13.03
CR07_BSS_NE40E_X8_A/Eth-Trunk0,13/06/2015 22:00:00 UTC+06:00,1 Hour,1.85G,497.0M,46.36,12.43
CR07_BSS_NE40E_X8_A/Eth-Trunk0,13/06/2015 23:00:00 UTC+06:00,1 Hour,1.93G,432.0M,48.17,10.79
CR07_BSS_NE40E_X8_A/Eth-Trunk0,14/06/2015 00:00:00 UTC+06:00,1 Hour,1.79G,347.0M,44.74,8.68
CR07_BSS_NE40E_X8_A/Eth-Trunk0,14/06/2015 01:00:00 UTC+06:00,1 Hour,1.32G,227.0M,32.97,5.68
CR07_BSS_NE40E_X8_A/Eth-Trunk0,14/06/2015 02:00:00 UTC+06:00,1 Hour,805.0M,133.0M,20.12,3.33
CR07_BSS_NE40E_X8_A/Eth-Trunk0,14/06/2015 03:00:00 UTC+06:00,1 Hour,466.0M,81.8M,11.64,2.04
CR07_BSS_NE40E_X8_A/Eth-Trunk0,14/06/2015 04:00:00 UTC+06:00,1 Hour,271.0M,57.6M,6.78,1.44
CR07_BSS_NE40E_X8_A/Eth-Trunk0,14/06/2015 05:00:00 UTC+06:00,1 Hour,259.0M,61.7M,6.48,1.54
CR07_BSS_NE40E_X8_A/Eth-Trunk0,14/06/2015 06:00:00 UTC+06:00,1 Hour,336.0M,93.7M,8.40,2.34
CR07_BSS_NE40E_X8_A/Eth-Trunk0,14/06/2015 07:00:00 UTC+06:00,1 Hour,524.0M,161.0M,13.10,4.03
CR07_BSS_NE40E_X8_A/Eth-Trunk0,14/06/2015 08:00:00 UTC+06:00,1 Hour,878.0M,239.0M,21.96,5.97
CR07_BSS_NE40E_X8_A/Eth-Trunk0,14/06/2015 09:00:00 UTC+06:00,1 Hour,1.09G,307.0M,27.29,7.68
CR07_BSS_NE40E_X8_A/Eth-Trunk0,14/06/2015 10:00:00 UTC+06:00,1 Hour,1.21G,362.0M,30.37,9.06
CR07_BSS_NE40E_X8_A/Eth-Trunk0,14/06/2015 11:00:00 UTC+06:00,1 Hour,1.29G,392.0M,32.21,9.80
CR07_BSS_NE40E_X8_A/Eth-Trunk0,14/06/2015 12:00:00 UTC+06:00,1 Hour,1.36G,403.0M,33.93,10.07
CR07_BSS_NE40E_X8_A/Eth-Trunk0,14/06/2015 13:00:00 UTC+06:00,1 Hour,1.37G,413.0M,34.23,10.32
CR07_BSS_NE40E_X8_A/Eth-Trunk0,14/06/2015 14:00:00 UTC+06:00,1 Hour,1.37G,405.0M,34.22,10.11
CR07_BSS_NE40E_X8_A/Eth-Trunk0,14/06/2015 15:00:00 UTC+06:00,1 Hour,1.48G,415.0M,37.08,10.38
CR07_BSS_NE40E_X8_A/Eth-Trunk0,14/06/2015 16:00:00 UTC+06:00,1 Hour,1.45G,419.0M,36.35,10.49
CR07_BSS_NE40E_X8_A/Eth-Trunk0,14/06/2015 17:00:00 UTC+06:00,1 Hour,1.36G,408.0M,33.94,10.19
CR07_BSS_NE40E_X8_A/Eth-Trunk0,14/06/2015 18:00:00 UTC+06:00,1 Hour,1.44G,438.0M,35.93,10.95
CR07_BSS_NE40E_X8_A/Eth-Trunk0,14/06/2015 19:00:00 UTC+06:00,1 Hour,1.51G,492.0M,37.82,12.31
CR07_BSS_NE40E_X8_A/Eth-Trunk0,14/06/2015 20:00:00 UTC+06:00,1 Hour,1.73G,551.0M,43.21,13.78
