""

"Save Time: 21/06/2015 10:23:23"
"User Name:omcuser"


" "

"Total 288 Records"

"Resource Name","Collection Time","Granularity ","Inbound Rate(bit/s)","Outbound Rate(bit/s)","Inbound Bandwidth Utilization(%)","Outbound Bandwidth Utilization(%)","Max Rate(bit/s)","Max Bandwidth Utilization(%)","Inbound Discarded Packet(packet)","Outbound Discarded Packet(packet)","Bandwidth(bit/s)","Interface Availability(%)"
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 10:25:00 UTC+06:00,5 Min,465.0M,372.0M,11.62,9.31,465.0M,9.31,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 10:30:00 UTC+06:00,5 Min,468.0M,371.0M,11.70,9.27,468.0M,9.27,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 10:35:00 UTC+06:00,5 Min,475.0M,383.0M,11.88,9.57,475.0M,9.57,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 10:40:00 UTC+06:00,5 Min,466.0M,387.0M,11.65,9.67,466.0M,9.67,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 10:45:00 UTC+06:00,5 Min,473.0M,390.0M,11.83,9.75,473.0M,9.75,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 10:50:00 UTC+06:00,5 Min,479.0M,397.0M,11.99,9.92,479.0M,9.92,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 10:55:00 UTC+06:00,5 Min,484.0M,399.0M,12.11,9.98,484.0M,9.98,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 11:00:00 UTC+06:00,5 Min,489.0M,389.0M,12.23,9.73,489.0M,9.73,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 11:05:00 UTC+06:00,5 Min,500.0M,408.0M,12.51,10.21,500.0M,10.21,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 11:10:00 UTC+06:00,5 Min,498.0M,411.0M,12.45,10.28,498.0M,10.28,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 11:15:00 UTC+06:00,5 Min,503.0M,416.0M,12.59,10.41,503.0M,10.41,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 11:20:00 UTC+06:00,5 Min,508.0M,423.0M,12.71,10.58,508.0M,10.58,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 11:25:00 UTC+06:00,5 Min,514.0M,441.0M,12.86,11.02,514.0M,11.02,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 11:30:00 UTC+06:00,5 Min,511.0M,439.0M,12.78,10.98,511.0M,10.98,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 11:35:00 UTC+06:00,5 Min,516.0M,438.0M,12.91,10.95,516.0M,10.95,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 11:40:00 UTC+06:00,5 Min,506.0M,431.0M,12.65,10.77,506.0M,10.77,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 11:45:00 UTC+06:00,5 Min,510.0M,432.0M,12.75,10.79,510.0M,10.79,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 11:50:00 UTC+06:00,5 Min,515.0M,439.0M,12.89,10.97,515.0M,10.97,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 11:55:00 UTC+06:00,5 Min,515.0M,448.0M,12.87,11.20,515.0M,11.20,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 12:00:00 UTC+06:00,5 Min,513.0M,442.0M,12.81,11.06,513.0M,11.06,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 12:05:00 UTC+06:00,5 Min,507.0M,433.0M,12.67,10.82,507.0M,10.82,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 12:10:00 UTC+06:00,5 Min,516.0M,441.0M,12.90,11.02,516.0M,11.02,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 12:15:00 UTC+06:00,5 Min,513.0M,439.0M,12.82,10.99,513.0M,10.99,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 12:20:00 UTC+06:00,5 Min,517.0M,454.0M,12.93,11.34,517.0M,11.34,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 12:25:00 UTC+06:00,5 Min,530.0M,470.0M,13.24,11.75,530.0M,11.75,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 12:30:00 UTC+06:00,5 Min,522.0M,463.0M,13.06,11.58,522.0M,11.58,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 12:35:00 UTC+06:00,5 Min,513.0M,457.0M,12.83,11.42,513.0M,11.42,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 12:40:00 UTC+06:00,5 Min,509.0M,447.0M,12.73,11.18,509.0M,11.18,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 12:45:00 UTC+06:00,5 Min,495.0M,428.0M,12.37,10.69,495.0M,10.69,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 12:50:00 UTC+06:00,5 Min,500.0M,432.0M,12.50,10.81,500.0M,10.81,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 12:55:00 UTC+06:00,5 Min,496.0M,435.0M,12.40,10.89,496.0M,10.89,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 13:00:00 UTC+06:00,5 Min,485.0M,426.0M,12.13,10.66,485.0M,10.66,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 13:05:00 UTC+06:00,5 Min,483.0M,410.0M,12.09,10.24,483.0M,10.24,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 13:10:00 UTC+06:00,5 Min,470.0M,397.0M,11.74,9.92,470.0M,9.92,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 13:15:00 UTC+06:00,5 Min,462.0M,388.0M,11.56,9.70,462.0M,9.70,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 13:20:00 UTC+06:00,5 Min,462.0M,382.0M,11.55,9.54,462.0M,9.54,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 13:25:00 UTC+06:00,5 Min,437.0M,369.0M,10.92,9.23,437.0M,9.23,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 13:30:00 UTC+06:00,5 Min,440.0M,371.0M,11.00,9.27,440.0M,9.27,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 13:35:00 UTC+06:00,5 Min,430.0M,371.0M,10.76,9.28,430.0M,9.28,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 13:40:00 UTC+06:00,5 Min,433.0M,374.0M,10.82,9.34,433.0M,9.34,0,0,4.0G,100.00
